"coords","gazePos","gx","gy","incomplete","letter","letter_time","sentence","string","total_time"
"(962.0999755859375, 260.5)","NA","NA","NA","my ","","39525.4506315","my ","","0"
"(361.3999938964844, 215.3000030517578)","NA","NA","NA","my s","s","40469.1028551","my ","s","0"
"(919.4000244140625, 240.10000610351562)","NA","NA","NA","my ","","21092.3623731","my ","","0"
"(407.70001220703125, 325.5)","NA","NA","NA","my name ","","25858.6036117","my name ","","0"
"(947.7999877929688, 245.3000030517578)","NA","NA","NA","my name is ","","23261.3967218","my name is ","","0"
"(962.2999877929688, 178.0)","NA","NA","NA","my name is l","l","28471.800454","my name is ","l","0"
"(927.2999877929688, 286.70001220703125)","NA","NA","NA","my name is links ","","24592.7745018","my name is links ","","0"
"(948.5999755859375, 380.20001220703125)","NA","NA","NA","my name is links links ","","46576.5436866","my name is links links ","","0"
"(409.20001220703125, 355.20001220703125)","NA","NA","NA","my name is links links ","","22961.0065306","my name is links links ","","744727.996978"
