coords,gazePos,gx,gy,incomplete,letter,letter_time,sentence,string,total_time
"(942.5999755859375, 186.6999969482422)",NA,NA,NA,my ,,37305.5640903,my ,,0
"(355.70001220703125, 237.8000030517578)",NA,NA,NA,my name on ,,36258.3671749,my name on ,,0
"(921.7000122070312, 227.5)",NA,NA,NA,my name on,,24077.2993094,my name on ,o,0
"(899.7000122070312, 229.3000030517578)",NA,NA,NA,my name o,,30883.7194087,my name on ,,0
"(897.4000244140625, 230.6999969482422)",NA,NA,NA,my name ,,28174.8750304,my name on ,,0
"(944.7000122070312, 235.89999389648438)",NA,NA,NA,my name on is ,,26533.2227054,my name on is ,,0
"(884.2000122070312, 120.0999984741211)",NA,NA,NA,my name on is l,l,35664.5522486,my name on is ,l,0
"(953.2000122070312, 232.89999389648438)",NA,NA,NA,my name on is li,i,36756.5210949,my name on is ,li,0
"(340.8999938964844, 221.8000030517578)",NA,NA,NA,my name on is lis,s,38901.2610176,my name on is ,lis,0
"(937.9000244140625, 247.0)",NA,NA,NA,my name on is lisa ,,31993.7327571,my name on is lisa ,,424727
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time take without error for traditional speller :,634.1,,,,,,,,
Error time,0,,,,,,,,
Total time take for trad speller,634.1,,,,,,,,
Total time for our system,424.7,,,,,,,,
