"coords","gazePos","gx","gy","incomplete","letter","letter_time","sentence","string","total_time"
"(1004.0999755859375, 102.69999694824219)","NA","NA","NA","my heart ","","40022.7949011","my heart ","","0"
"(634.5, 517.4000244140625)","NA","NA","NA","my heart my ","","37581.777357","my heart my ","","0"
"(359.8999938964844, 246.5)","NA","NA","NA","my heart my name ","","46075.7510156","my heart my name ","","0"
"(990.9000244140625, 129.0)","NA","NA","NA","my heart my name i","i","35630.5172775","my heart my name ","i","0"
"(321.20001220703125, 187.39999389648438)","NA","NA","NA","my heart my name is","s","39965.9346538","my heart my name ","is","0"
"(653.9000244140625, 509.3999938964844)","NA","NA","NA","my heart my name is ","","56126.7414331","my heart my name is ","","0"
"(629.5, 518.2000122070312)","NA","NA","NA","my heart my name is like ","","40189.4865839","my heart my name is like ","","0"
"(663.9000244140625, 579.0)","NA","NA","NA","my heart my name is like list ","","43133.8277563","my heart my name is like list ","","0"
"(984.5, 196.8000030517578)","NA","NA","NA","my heart my name is like list list ","","38314.0779056","my heart my name is like list list ","","0"
